#Time,Predicted,Observed
0,0.039,0.194
3600,-0.07,0.085
7200,-0.168,-0.024
10800,-0.233,-0.063
14400,-0.261,-0.125
18000,-0.249,-0.093
21600,-0.196,-0.081
25200,-0.109,0.009
28800,-0.007,0.106
32400,0.088,0.188
36000,0.16,0.274
39600,0.196,0.302
43200,0.187,0.312
46800,0.14,0.248
50400,0.078,0.172
54000,0.025,0.12
57600,-0.01,0.12
61200,-0.024,0.084
64800,-0.012,0.103
68400,0.027,0.146
72000,0.082,0.195
75600,0.134,0.272
79200,0.165,0.296
82800,0.165,0.281
86400,0.124,0.27
90000,0.048,0.182
93600,-0.043,0.108
97200,-0.123,0.053
100800,-0.175,0.018
104400,-0.191,0.01
108000,-0.173,0.025
111600,-0.119,0.072
115200,-0.041,0.144
118800,0.044,0.244
122400,0.118,0.302
126000,0.164,0.327
129600,0.174,0.337
133200,0.145,0.343
136800,0.087,0.309
140400,0.02,0.188
144000,-0.035,0.166
147600,-0.066,0.122
151200,-0.07,0.134
154800,-0.047,0.147
158400,0.001,0.24
162000,0.062,0.277
165600,0.117,0.327
169200,0.149,0.421
172800,0.151,0.407
176400,0.121,0.34
180000,0.062,0.344
183600,-0.01,0.325
187200,-0.073,0.326
190800,-0.109,0.273
194400,-0.114,0.309
198000,-0.092,0.356
201600,-0.045,0.45
205200,0.02,0.56
208800,0.086,0.582
212400,0.134,0.663
216000,0.154,0.649
219600,0.144,0.738
223200,0.103,0.503
226800,0.036,0.536
230400,-0.036,0.543
234000,-0.088,0.571
237600,-0.111,0.621
241200,-0.107,0.613
244800,-0.077,0.566
248400,-0.022,0.707
252000,0.042,0.706
255600,0.096,0.736
259200,0.129,0.757
262800,0.14,0.805
266400,0.125,0.68
270000,0.082,0.609
273600,0.027,0.51
277200,-0.017,0.578
280800,-0.038,0.634
284400,-0.037,0.632
288000,-0.018,0.719
291600,0.02,0.727
295200,0.069,0.74
298800,0.112,0.742
302400,0.135,0.852
306000,0.137,0.787
309600,0.114,0.943
313200,0.061,0.764
316800,-0.014,0.576
320400,-0.085,0.754
324000,-0.13,0.645
327600,-0.147,0.427
331200,-0.137,0.425
334800,-0.101,0.427
338400,-0.042,0.423
342000,0.022,0.498
345600,0.076,0.459
349200,0.116,0.497
352800,0.139,0.533
356400,0.136,0.532
360000,0.107,0.595
363600,0.069,0.662
367200,0.042,0.6
370800,0.031,0.606
374400,0.03,0.651
378000,0.043,0.729
381600,0.069,0.779
385200,0.1,0.778
388800,0.122,0.791
392400,0.128,0.76
396000,0.118,0.741
399600,0.083,0.705
403200,0.019,0.511
406800,-0.058,0.421
410400,-0.124,0.462
414000,-0.163,0.451
417600,-0.176,0.485
421200,-0.162,0.418
424800,-0.12,0.446
428400,-0.06,0.464
432000,0.005,0.471
435600,0.063,0.613
439200,0.113,0.679
442800,0.146,0.784
446400,0.152,0.81
450000,0.136,0.87
453600,0.114,0.85
457200,0.098,0.813
460800,0.088,0.805
464400,0.084,0.786
468000,0.088,0.807
471600,0.101,0.825
475200,0.116,0.82
478800,0.124,0.82
482400,0.12,0.844
486000,0.099,0.771
489600,0.052,0.821
493200,-0.017,0.805
496800,-0.093,0.667
500400,-0.155,0.515
504000,-0.191,0.505
507600,-0.199,0.442
511200,-0.181,0.51
514800,-0.136,0.583
518400,-0.073,0.632
522000,-0.003,0.674
525600,0.063,0.795
529200,0.119,0.857
532800,0.157,1
536400,0.172,0.872
540000,0.168,0.844
543600,0.155,0.868
547200,0.142,0.857
550800,0.131,0.866
554400,0.121,0.835
558000,0.116,0.789
561600,0.118,0.844
565200,0.124,0.857
568800,0.125,0.844
572400,0.111,0.816
576000,0.079,0.775
579600,0.025,0.636
583200,-0.046,0.538
586800,-0.12,0.42
590400,-0.179,0.311
594000,-0.212,0.277
597600,-0.217,0.199
601200,-0.195,0.13
604800,-0.146,0.138
608400,-0.076,0.2
612000,0.001,0.146
615600,0.071,0.232
619200,0.129,0.357
622800,0.172,0.428
626400,0.194,0.48
630000,0.196,0.434
633600,0.186,0.397
637200,0.174,0.344
640800,0.159,0.258
644400,0.141,0.192
648000,0.129,0.18
651600,0.128,0.092
655200,0.131,0.044
658800,0.125,0.006
662400,0.102,-0.011
666000,0.063,-0.039
669600,0.006,-0.063
673200,-0.067,-0.133
676800,-0.142,-0.171
680400,-0.199,-0.243
684000,-0.228,-0.316
687600,-0.231,-0.339
691200,-0.204,-0.381
694800,-0.147,-0.338
698400,-0.068,-0.275
702000,0.012,-0.155
705600,0.083,-0.058
709200,0.143,0.027
712800,0.19,0.084
716400,0.214,0.129
720000,0.216,0.102
723600,0.205,0.097
727200,0.19,0.069
730800,0.17,0.038
734400,0.147,0.001
738000,0.136,-0.033
741600,0.136,0.016
745200,0.136,0.019
748800,0.122,0.002
752400,0.094,0.013
756000,0.053,0.004
759600,-0.007,-0.024
763200,-0.084,-0.079
766800,-0.159,-0.145
770400,-0.213,-0.196
774000,-0.241,-0.216
777600,-0.239,-0.216
